28/05 12:25 | INFO     | Finished generating ChatGPT output!
28/05 12:25 | INFO     | generate_linear_trajectory desc='apply downward press to unlatch lever' start=[-0.3080049496287611, -0.12732995050222745, 0.638, -0.03] end=[-0.3080049496287611, -0.12732995050222745, 0.608, -0.03] end_px=[189, 75]
28/05 12:25 | INFO     | Executing generated trajectory...
28/05 12:25 | INFO     | wrist_torque: 22.722671113448435 gripper_torque: 45.486916526335335
28/05 12:25 | INFO     | wrist_torque: 2.2433220918428227 gripper_torque: 4.5340230716676295
28/05 12:25 | INFO     | wrist_torque: 2.020663465529151 gripper_torque: 4.081240448105664
28/05 12:25 | INFO     | wrist_torque: 1.8185877407672324 gripper_torque: 3.6736398278203835
28/05 12:25 | INFO     | wrist_torque: 2.410194064947914 gripper_torque: 3.3053538844191577
28/05 12:25 | INFO     | wrist_torque: 1.498558320341793 gripper_torque: 2.977371314430278
28/05 12:25 | INFO     | wrist_torque: 1.0034661560003237 gripper_torque: 2.678678558280801
28/05 12:25 | INFO     | wrist_torque: 0.946051423249796 gripper_torque: 2.411045555331961
28/05 12:25 | INFO     | wrist_torque: 0.8898372980418654 gripper_torque: 2.1701360654546127
28/05 12:25 | INFO     | wrist_torque: 0.8319514159546912 gripper_torque: 1.9532799923723358
28/05 12:25 | INFO     | wrist_torque: 0.7738467865092529 gripper_torque: 1.7580798800164337
28/05 12:25 | INFO     | wrist_torque: 0.7166548195076974 gripper_torque: 1.5823761013275845
28/05 12:25 | INFO     | wrist_torque: 0.6611994997613463 gripper_torque: 1.4242236237419634
28/05 12:25 | INFO     | wrist_torque: 0.6080576904978918 gripper_torque: 1.2818709213783874
28/05 12:25 | INFO     | wrist_torque: 0.5576110217323349 gripper_torque: 1.153740879209674
28/05 12:25 | INFO     | wrist_torque: 0.5100890921239514 gripper_torque: 1.0384135300143846
28/05 12:25 | INFO     | wrist_torque: 0.46560491357943196 gripper_torque: 0.9346104663985244
28/05 12:25 | INFO     | wrist_torque: 0.4241835438472965 gripper_torque: 0.841180777298282
28/05 12:25 | INFO     | wrist_torque: 0.385785034778615 gripper_torque: 0.7570883673633437
28/05 12:25 | INFO     | wrist_torque: 0.3503225907149916 gripper_torque: 0.6814005281587058
28/05 12:25 | INFO     | wrist_torque: 0.31767682658238905 gripper_torque: 0.6132776406977793
28/05 12:25 | INFO     | wrist_torque: 0.2877068542389246 gripper_torque: 0.5519638992390198
28/05 12:25 | INFO     | wrist_torque: 0.2602587944032043 gripper_torque: 0.4967789563877992
28/05 12:25 | INFO     | wrist_torque: 0.23517226601417138 gripper_torque: 0.4471103987424568
28/05 12:25 | INFO     | wrist_torque: 0.21228522570749028 gripper_torque: 0.4024069711714516
28/05 12:25 | INFO     | wrist_torque: 0.19143753262158575 gripper_torque: 0.3621724755163229
28/05 12:25 | INFO     | wrist_torque: 0.17247351919378973 gripper_torque: 0.32596027690611745
28/05 12:25 | INFO     | wrist_torque: 0.1552437580097987 gripper_torque: 0.293368357394144
28/05 12:25 | INFO     | wrist_torque: 0.13960623948295517 gripper_torque: 0.26403486248197816
28/05 12:25 | INFO     | wrist_torque: 0.12542708246915096 gripper_torque: 0.23763409159032112
28/05 12:25 | INFO     | wrist_torque: 0.11258089267891794 gripper_torque: 0.21387288829696485
28/05 12:25 | INFO     | wrist_torque: 0.10095086282023091 gripper_torque: 0.19248739056825565
28/05 12:25 | INFO     | wrist_torque: 0.09042866882878013 gripper_torque: 0.17324010515976127
28/05 12:25 | INFO     | wrist_torque: 0.08091425127302629 gripper_torque: 0.15591727387828488
28/05 12:25 | INFO     | wrist_torque: 0.07231547475996843 gripper_torque: 0.14032650269368357
28/05 12:25 | INFO     | wrist_torque: 0.0645477484145787 gripper_torque: 0.1262946274336086
28/05 12:25 | INFO     | wrist_torque: 0.05753357823180723 gripper_torque: 0.11366579257014006
28/05 12:25 | INFO     | wrist_torque: 0.051202141019815225 gripper_torque: 0.10229972176306087
28/05 12:25 | INFO     | wrist_torque: 0.045488809735413645 gripper_torque: 0.09207016113620459
28/05 12:25 | INFO     | wrist_torque: 0.04033471032805808 gripper_torque: 0.08286347798278457
28/05 12:25 | INFO     | wrist_torque: 0.03568629249015575 gripper_torque: 0.07457739942035974
